"region","periodo","CBA","CBT"
"Cuyo","2016.2",1400.57,3637.09666666667
"Cuyo","2016.3",1508.80666666667,3872.37
"Cuyo","2016.4",1570.29666666667,4030.40666666667
"Cuyo","2017.1",1635.08,4218.61666666667
"Cuyo","2017.2",1731.18666666667,4512.68666666667
"Cuyo","2017.3",1801.53,4689.87
"Cuyo","2017.4",1893.92333333333,4975.42333333333
"Cuyo","2018.1",2012.54666666667,5373.77666666667
"Cuyo","2018.2",2157.92,5795.53666666667
"Cuyo","2018.3",2466.96,6537.66333333333
"Cuyo","2018.4",2899.13333333333,7692.51333333333
"Cuyo","2019.1",3196.64333333333,8448.32
"Cuyo","2019.2",3472.48666666667,9272.14666666667
"Cuyo","2019.3",3831.78666666667,10179.8533333333
"Cuyo","2019.4",4323.53666666667,11499.7166666667
"Cuyo","2020.1",4860.63,12571.92
"Cuyo","2020.2",5133.55666666667,13159.1533333333
"Cuyo","2020.3",5388.82933666667,13939.2133333333
"Cuyo","2020.4",6226.30259666667,15896.0833333333
"Cuyo","2021.1",7053.95609435956,17775.1466666667
"Cuyo","2021.2",7827.28192666667,19566.5466666667
"Cuyo","2021.3",8434.44666666667,21002.89
"Cuyo","2021.4",9203.95333333333,22792.2866666667
"Cuyo","2022.1",10803.1033333333,25948.5933333333
"Cuyo","2022.2",12850.6766666667,30672.2333333333
"Cuyo","2022.3",15317.9133333333,36813.92
"Cuyo","2022.4",18596.3166666667,44885.6366666667
"Cuyo","2023.1",23213.03,54716.48
"Cuyo","2023.2",28810.6966666667,67447.15
"Cuyo","2023.3",37817.4486333333,88100.1766666667
"Cuyo","2023.4",56707.1490733333,126876.386666667
"GBA","2016.2",1563.4,3809.80333333333
"GBA","2016.3",1684.25,4053.19
"GBA","2016.4",1756.20333333333,4232.45
"GBA","2017.1",1828.91,4432.32333333333
"GBA","2017.2",1936.37666666667,4744.12333333333
"GBA","2017.3",2018.67,4932.17
"GBA","2017.4",2118.45333333333,5219.2
"GBA","2018.1",2251.01666666667,5650.37666666667
"GBA","2018.2",2421.40333333333,6115.79666666667
"GBA","2018.3",2753.57666666667,6856.65333333333
"GBA","2018.4",3242.27,8084.25333333333
"GBA","2019.1",3595.93666666667,8928.18666666667
"GBA","2019.2",3920.31666666667,9814.44333333333
"GBA","2019.3",4309.17,10758.6233333333
"GBA","2019.4",4841.98333333333,12103.9933333333
"GBA","2020.1",5460.4,13285.6033333333
