"","year(indice_tiempo)","quarter(indice_tiempo)","region","cbt","cba"
"1",2016,2,"cuyo",3637.09666666667,1400.57
"2",2016,2,"gran_buenos_aires",3809.80333333333,1563.4
"3",2016,2,"noreste",3214.91666666667,1407.84
"4",2016,2,"noroeste",3106.46333333333,1372.35
"5",2016,2,"pampeana",3811.30333333333,1564.01333333333
"6",2016,2,"patagonia",4447.90666666667,1607.56
"7",2016,3,"cuyo",3872.37,1508.80666666667
"8",2016,3,"gran_buenos_aires",4053.19,1684.25
"9",2016,3,"noreste",3413.94666666667,1512.93333333333
"10",2016,3,"noroeste",3292.33,1472.08
"11",2016,3,"pampeana",4033.72,1676.16333333333
"12",2016,3,"patagonia",4742.31666666667,1735.14
"13",2016,4,"cuyo",4030.40666666667,1570.29666666667
"14",2016,4,"gran_buenos_aires",4232.45,1756.20333333333
"15",2016,4,"noreste",3538.64666666667,1568.09333333333
"16",2016,4,"noroeste",3411.9,1525.45
"17",2016,4,"pampeana",4208.81333333333,1746.39666666667
"18",2016,4,"patagonia",4962.50666666667,1813.34666666667
"19",2017,1,"cuyo",4218.61666666667,1635.08
"20",2017,1,"gran_buenos_aires",4432.32333333333,1828.91
"21",2017,1,"noreste",3695.33333333333,1627.85666666667
"22",2017,1,"noroeste",3551.93333333333,1578.59333333333
"23",2017,1,"pampeana",4403.45666666667,1816.99666666667
"24",2017,1,"patagonia",5198.23666666667,1890.22666666667
"25",2017,2,"cuyo",4512.68666666667,1731.18666666667
"26",2017,2,"gran_buenos_aires",4744.12333333333,1936.37666666667
"27",2017,2,"noreste",3961.59666666667,1727.41666666667
"28",2017,2,"noroeste",3820.65666666667,1680.61333333333
"29",2017,2,"pampeana",4700.88,1921.31333333333
"30",2017,2,"patagonia",5550.71,1994.24666666667
"31",2017,3,"cuyo",4689.87,1801.53
"32",2017,3,"gran_buenos_aires",4932.17,2018.67
"33",2017,3,"noreste",4106.42666666667,1793.25
"34",2017,3,"noroeste",3978.3,1752.61
"35",2017,3,"pampeana",4895.46666666667,2003.65333333333
"36",2017,3,"patagonia",5741.60333333333,2070.33333333333
"37",2017,4,"cuyo",4975.42333333333,1893.92333333333
"38",2017,4,"gran_buenos_aires",5219.2,2118.45333333333
